epoch,loss,acc
1,3.518767,0.141574
2,3.167011,0.163365
3,2.948693,0.208929
4,2.617472,0.279911
5,2.348704,0.340681
6,2.138005,0.389816
7,2.003399,0.42341
8,1.909276,0.447824
9,1.841778,0.464118
10,1.764172,0.485296
11,1.700561,0.502651
12,1.640164,0.513867
13,1.582906,0.523661
14,1.529423,0.535128
15,1.494608,0.542076
16,1.45757,0.54668
17,1.42562,0.55399
18,1.397976,0.559626
19,1.36713,0.566797
20,1.344677,0.5738
21,1.313548,0.582366
22,1.293113,0.584794
23,1.264488,0.589872
24,1.238285,0.598242
25,1.220307,0.60279
26,1.197404,0.608064
27,1.172865,0.617997
28,1.157766,0.621122
29,1.142872,0.626702
30,1.115034,0.635575
31,1.099478,0.638756
32,1.075674,0.648493
33,1.055952,0.651758
34,1.028288,0.664927
35,1.012214,0.66769
36,0.989278,0.676311
37,0.95772,0.687026
38,0.928484,0.695703
39,0.907364,0.702065
40,0.881311,0.712277
41,0.861582,0.721122
42,0.83673,0.727567
43,0.81246,0.73404
44,0.786593,0.742327
45,0.770886,0.750391
46,0.759511,0.753739
47,0.735362,0.761217
48,0.711351,0.769671
49,0.692834,0.773298
50,0.674972,0.781055
